,0,1,2,4,8,16
Ala,3.05708333333333,5.1875,4.506116667,4.86565,5.396916667,4.7871
Arg,1.74206666666667,1.11695,0.683933333,0.470033333,0.391983333,0.376516667
Asp,1.68443333333333,0.559683333,0.56085,0.481483333,1.083966667,0.833183333
Cys,0.125033333333333,0.205816667,0.264666667,0.196166667,0.161633333,0.184616667
Gln,0.276016666666667,0.780066667,0.481466667,0.420016667,0.396766667,0.11815
Glu,104.386666666667,79.40045,68.28508333,62.1605,53.88938333,48.94626667
Gly,2.05566666666667,1.729983333,1.49115,1.105683333,0.857483333,0.594816667
His,1.74361666666667,2.061733333,1.941833333,1.748466667,1.696683333,1.59515
Ile,1.5016,1.957816667,1.75185,1.61135,1.6589,1.482033333
Leu,1.5048,1.878316667,1.6481,1.4806,1.52475,1.217433333
Lys,1.16443333333333,1.2749,1.05625,0.97695,1.086333333,0.882516667
Met,1.54955,1.838816667,1.607466667,1.42455,1.284483333,1.18065
Phe,1.60783333333333,2.06205,1.916866667,1.711016667,1.715683333,1.528466667
Pro,1.75616666666667,1.8477,1.537783333,1.339916667,1.110133333,0.863983333
Ser,1.36491666666667,3.239483333,3.656366667,2.828583333,2.93555,2.91505
Thr,1.59141666666667,0.84415,0.681133333,0.6755,0.735266667,0.681416667
Trp,2.47593333333333,2.774916667,2.49805,2.0576,1.5321,1.417916667
Tyr,1.68431666666667,2.597466667,2.3458,2.258533333,2.462266667,2.4011
Val,1.89276666666667,4.02195,4.180783333,4.76815,5.5227,5.835716667
